restaurant_id,restaurant_name,cuisine_type
3267,Simla Chat,Recommended
3268,Polar Bear,Biscoff Cookie Sundaes
3269,Arusuvai Cafe,Our Speciality
3270,Long Jhon Silver's,Recommended
3271,7Th Heaven,Pizzas
3272,Sherowali Sweets And Fast Foods,Snacks And Chaat
3273,AnTeRa Courtyard,Regional Starters (non-veg)
3274,Trelly,Prawn Fried  Rice
3275,IGP Cakes,Cupcakes
3276,Mr Khan Restro,Momos
3277,Preeti Tiffins,Wada
3278,Nini's Kitchen,Global Mains
3279,The cherith,Rice
3280,Zero Miles,Main Course
3281,Momo Nation Cafe,Beverages
3282,Baba Au Rhum Badem,Mains
3283,Sangeetha Veg Restaurant,Soup
3284,Roll's Hut,Shawarma
3285,Vipul Dudhiya Sweets,Matho
3286,Trelly,Chicken Fried Rice
3287,ITC Aashirvaad Soul Creations,Curated Meal Combos
3288,Bakingo-Cakes & Desserts,Recommended
3289,City Wok Restaurant,Momos
3290,Cafe Ertugrul,Veg Pizza
3291,Moti Mahal,Chaat
3292,Dip N Bite,Healthy Food
3293,KFC,Matchdays Epic Deals (upto Rs 308 Off)
3294,Kaveri - Lalpur,Rice And Pulao
3295,Tan-Sukh by Kanha,Desserts
3296,Matkawala,Combo
3297,Udupi Grand,North Gravy
3298,Winni Cakes & More,Muffin And Tea Cake
3299,Bombay Mishthan Bhandar (Bmb) - Sanganeeri Gate,Mawa Sweets
3300,hotel Toshali,Indian Bread
3301,Dosa Hub,Roti
3302,Lalaji Dilli Wale,Break Fast Maniac
3303,Sangeetha Veg Restaurant,Extra Tiffin Itmes
3304,Poetry By Love & Cheesecake,Recommended
3305,Chetak Sweet Point,Khari And Toast
3306,Punjabi Darbaar Dhaba,Recommended
3307,Cafe S.F. Xavier,Non Veg Main-dishes
3308,Babka Goa,Cookies
3309,Paakashala,Combo
3310,Mellow,Chilly
3311,Bansal Amritsari Kulcha,Amritsari Kulcha
3312,Shiv Sagar,Oriental Rice
3313,Dunkin' - Donuts & Coffee,Brownies
3314,Snehalata Fast Food,Fish
3315,Hotel Polo Towers,Midnight Bites
3316,Moti Mahal,Chinese
3317,Loyans Bakery & Confectionery,Cheese Cake/Slice
3318,Aubree,Brownies
3319,Urban Tadka,Dal Aur Chawal
3320,Tossin Pizza,Gourmet Non-veg Pasta
3321,Sambharsa,Rice
3322,The Airawat Kitchen,Hot Drinks
3323,Rokali,Nammura Benne
3324,Gopal Mistanna Bhandar,Accompaniments
3325,The Idli Foundry,Idli Platters
3326,Mahalaxmi Sweets & Restaurant,Indian Main Course
3327,ABC Fast Food,Rolls
3328,Raja Sri Tiffins,Breakfast Bestsellers
3329,The Family Food Truck,Combo Pack
3330,Kumar'S Sweet Shop (Jakhan),Recommended
3331,Udupi Grand,Recommended
3332,Saurashtra Chawana & Sweets,Pure Ghee Sweets
3333,Urban Tadka,Chicken Biryani
3334,Parivaar Vegetarian,Breads
3335,ITC Aashirvaad Soul Creations,Raita
3336,Cocoa Bakery,Signatures
3337,Shiv Sagar,Pav Bhaji
3338,Simla Chat,Indian Breads
3339,Highway Kitchen,CHINESE
3340,Highway Kitchen,Roti Ki Tokri
3341,Kuppuswami,Fried Rice And Chowmein
3342,Long Jhon Silver's,Finger Chicken Thai Style (boneless)
